customer_id,churn_score,risk_band,segment_name,top_reason_1,top_reason_2,top_reason_3,explanation_summary,best_channel,channel_confidence,chosen_action,action_priority,action_note,execution_channel
768805383,0.016189647945892692,low_risk,at_risk_mid_tier,low_account_activity,low_product_usage,high_balance_risk,"Risk driven by low account activity, low product usage, and high balance risk.",SMS,0.6769214655011457,MONITOR_ONLY,9,Monitor only — newsletter / educational content,email
818770008,0.04684215280892566,low_risk,at_risk_mid_tier,low_account_activity,high_balance_risk,balance_per_product_issue,"Risk driven by low account activity, high balance risk, and balance per product issue.",SMS,0.6803965272817006,MONITOR_ONLY,9,Monitor only — newsletter / educational content,email
713982108,0.05023034073182442,low_risk,dormant_low_value,low_account_activity,high_balance_risk,low_product_usage,"Risk driven by low account activity, high balance risk, and low product usage.",SMS,0.5537242898844439,MONITOR_ONLY,9,Monitor only — newsletter / educational content,email
769911858,0.38155289587748364,medium_risk,at_risk_mid_tier,high_balance_risk,active_but_leaving,balance_per_product_issue,"Risk driven by high balance risk, active but leaving, and balance per product issue.",SMS,0.8059519788141231,EMAIL_NUDGE,8,General medium risk nudge,SMS
709106358,0.09527387267949097,low_risk,dormant_low_value,high_balance_risk,low_account_activity,balance_per_product_issue,"Risk driven by high balance risk, low account activity, and balance per product issue.",SMS,0.6730512740098841,MONITOR_ONLY,9,Monitor only — newsletter / educational content,email
713061558,0.0029952655536593245,low_risk,at_risk_mid_tier,low_account_activity,declining_balance,balance_per_product_issue,"Risk driven by low account activity, declining balance, and balance per product issue.",SMS,0.8178515102941947,MONITOR_ONLY,9,Monitor only — newsletter / educational content,email
810347208,0.003501114822047025,low_risk,at_risk_mid_tier,low_account_activity,declining_balance,low_product_usage,"Risk driven by low account activity, declining balance, and low product usage.",SMS,0.7502420968100094,MONITOR_ONLY,9,Monitor only — newsletter / educational content,email
818906208,0.1039325099504955,low_risk,at_risk_mid_tier,declining_balance,high_product_risk,tenure_aging_risk,"Risk driven by declining balance, high product risk, and tenure aging risk.",SMS,0.8155735502658612,MONITOR_ONLY,9,Monitor only — newsletter / educational content,email
710930508,0.13353931525405005,low_risk,at_risk_mid_tier,high_balance_risk,balance_per_product_issue,active_but_leaving,"Risk driven by high balance risk, balance per product issue, and active but leaving.",SMS,0.7913457880982581,MONITOR_ONLY,9,Monitor only — newsletter / educational content,email
719661558,0.027862146369380333,low_risk,at_risk_mid_tier,declining_balance,active_but_leaving,low_product_usage,"Risk driven by declining balance, active but leaving, and low product usage.",SMS,0.8297071220626622,MONITOR_ONLY,9,Monitor only — newsletter / educational content,email
708790833,0.08117312400567513,low_risk,at_risk_mid_tier,active_but_leaving,declining_balance,low_product_usage,"Risk driven by active but leaving, declining balance, and low product usage.",SMS,0.815516288339457,MONITOR_ONLY,9,Monitor only — newsletter / educational content,email
710821833,0.006767716241616878,low_risk,at_risk_mid_tier,declining_balance,young_flight_risk,low_product_usage,"Risk driven by declining balance, young flight risk, and low product usage.",SMS,0.6285447482002947,MONITOR_ONLY,9,Monitor only — newsletter / educational content,email
710599683,0.5724921002601276,high_risk,dormant_low_value,high_balance_risk,tenure_aging_risk,balance_per_product_issue,"Risk driven by high balance risk, tenure aging risk, and balance per product issue.",SMS,0.4977692209997834,PRODUCT_TUTORIAL,6,Product tutorial + digital engagement prompt,push_notification
816082233,0.004025523373056005,low_risk,at_risk_mid_tier,low_account_activity,declining_balance,low_product_usage,"Risk driven by low account activity, declining balance, and low product usage.",SMS,0.7640427840399278,MONITOR_ONLY,9,Monitor only — newsletter / educational content,email
712396908,0.08640128724728417,low_risk,at_risk_mid_tier,balance_per_product_issue,low_product_usage,young_flight_risk,"Risk driven by balance per product issue, low product usage, and young flight risk.",SMS,0.5097523340612742,MONITOR_ONLY,9,Monitor only — newsletter / educational content,email
